Index,संस्कृतम्,हिन्दी अर्ध,English Meaning,word,sandhied_word,kaaraka_sambandha,hindi_meaning
,तस्य,उसके,his,ईयात्,ईयात्,"अभिहित_कर्ता,1.1;सकर्मक",जाये
,,,,.,.,-,-
,,,,,,,
,रामस्य,राम के,rAma's,,,,
,,,,,,,
,,,,,,,
,वने,वन में,in forest,,,,
,,,,,,,
,,,,,,,
,वन-चरैः,वनचरों के,the foresters,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,सह,साथ,with,,,,
,,,,,,,
,,,,,,,
,43,43,43,,,,
,,,,,,,
,,,,,,,
5.1.A,ऋषयः,मुनियों ने,the seers,,,,
,,,,,,,
,,,,,,,
,अभ्यागमन्,आए,called on,,,,
,,,,,,,
,,,,,,,
,सर्वे,सभी,all,,,,
,,,,,,,
,,,,,,,
,वधाय,वध के लिए,for killing,,,,
,,,,,,,
,,,,,,,
,असुर-रक्षसाम्,असुर-असुरा के,of demons,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,सः,वह (राम),he (Rama),,,,
,,,,,,,
,,,,,,,
,तेषाम्,उनके (राक्षसों के),their,,,,
,,,,,,,
,,,,,,,
,प्रति-शुश्राव,स्वीकार किया,accepted,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,राक्षसानाम्,राक्षसा के (वध),of the demons,,,,
,,,,,,,
,,,,,,,
,तदा,उसी समय,at that time,,,,
,,,,,,,
,,,,,,,
,वने,वन में,in forest,,,,
,,,,,,,
,,,,,,,
,44,44,44,,,,
,,,,,,,
,,,,,,,
6.1.A,प्रति-ज्ञातः,प्रतिज्ञा की,solemnly promised,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,च,भी,also,,,,
,,,,,,,
,,,,,,,
,रामेण,दशरथ के पुत्र राम द्वारा,by Rama,,,,
,,,,,,,
,,,,,,,
,वधः,संहार,the killing,,,,
,,,,,,,
,,,,,,,
,संयति,युद्ध में,in an encounter,,,,
,,,,,,,
,,,,,,,
,रक्षसाम्,असुरा के,of demons,,,,
,,,,,,,
,,,,,,,
,ऋषीणाम्,ऋषियों का,of the seers,,,,
,,,,,,,
,,,,,,,
,अग्नि-कल्पानाम्,अग्नि के समान,glorious as fire,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,दण्डकारण्य-वासिनाम्,दण्डकारण्य में निवास करने वाले,dwelling in the forest of Dandaka,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.1.A,तेन,उसके (राम) द्वारा,by him (Rama),,,,
,,,,,,,
,,,,,,,
,तत्र,उस वन में,in forest,,,,
,,,,,,,
,,,,,,,
,एव,ही,alone,,,,
,,,,,,,
,,,,,,,
,वसता,रहते हुए,while living,,,,
,,,,,,,
,,,,,,,
,जनस्थान-निवासिनी,जनस्थान में रहने वाली,dwelling in Janasthana,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,वि-रूपिता,विरूप की गयी,lopped off,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,शूर्पणखा,शूर्पणखा,"shurpanakhaa, by name",,,,
,,,,,,,
,,,,,,,
,राक्षसी,राक्षसी,demoness,,,,
,,,,,,,
,,,,,,,
,काम-रूपिणी,इच्छानुसार रूप बनाने वाली,capable of assuming any form at will,,,,
,,,,,,,
,,,,,,,
,,,,,,,
8.1.A,ततः,उसके बाद,then,,,,
,,,,,,,
,,,,,,,
,शूर्पणखा-वाक्यात्,शूर्पणखा के वचन से,at the instigation of shurrpanakha,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,उद्युक्तान्,युद्ध हेतु तत्पर,prepared for battle,,,,
,,,,,,,
,,,,,,,
,सर्व-राक्षसान्,सभी राक्षसों को,सर्व-राक्षसान्,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,खरं,खरनामक,Khara by name,,,,
,,,,,,,
,,,,,,,
,त्रि-शिरसं,त्रिशिरा नामक,"Trishir,by name",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,च,भी,also,,,,
,,,,,,,
,,,,,,,
,एव,ही,alone,,,,
,,,,,,,
,,,,,,,
,दूषणं,दूषण नामक,Dushana by name,,,,
,,,,,,,
,,,,,,,
,च,भी,also,,,,
,,,,,,,
,,,,,,,
,एव,ही,alone,,,,
,,,,,,,
,,,,,,,
,राक्षसम्,राक्षस (से),demon,,,,
,,,,,,,
,,,,,,,
,47,47,47,,,,
,,,,,,,
,,,,,,,
9.1.A,नि-जघान,मारा,killed,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,रणे,युद्ध में,in an encounter,,,,
,,,,,,,
,,,,,,,
,रामः,राम ने,Rama,,,,
,,,,,,,
,,,,,,,
,तेषाम्,उनके (राक्षसा के),their,,,,
,,,,,,,
,,,,,,,
,च,भी,also,,,,
,,,,,,,
,,,,,,,
,एव,ही,alone,,,,
,,,,,,,
,,,,,,,
,पदानुगान्,अनुयायियों को,followers,,,,
,,,,,,,
,,,,,,,
,वने,वन में,in forest,,,,
,,,,,,,
,,,,,,,
,तस्मिन्,उस में,in that place,,,,
,,,,,,,
,,,,,,,
,निवसता,रहते हुए,by Rama while sojourning,,,,
,,,,,,,
,,,,,,,
,जन-स्थान-निवासिनाम्,दण्डकारण्यवासियों,living in Janasthana,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
10.1.A,रक्षसाम्,असुरों के,of demons,,,,
,,,,,,,
,,,,,,,
,नि-हतानि,मारे गए,killed,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,आसन्,थे,were,,,,
,,,,,,,
,,,,,,,
,सहस्राणि,हजार,thousand,,,,
,,,,,,,
,,,,,,,
,चतुर्दश,चौदह,fourteen,,,,
,,,,,,,
,,,,,,,
,ततः,उसके बाद,then,,,,
,,,,,,,
,,,,,,,
,ज्ञाति-वधम्,ज्ञाति-वधम्,the killing of kinsmen,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,श्रुत्वा,सुनकर,having heard,,,,
,,,,,,,
,,,,,,,
,रावणः,रावणः,Ravana,,,,
,,,,,,,
,,,,,,,
,क्रोध-मूर्च्छितः,क्रोध से मूर्छित,stupefied through anger,,,,
,,,,,,,
,,,,,,,
,,,,,,,
11.1.A,सहायम्,सहयोग,the help,,,,
,,,,,,,
,,,,,,,
,वरयामास,मांगा,sought,,,,
,,,,,,,
,,,,,,,
,मारीचम्,मारीचम्,Maricha,,,,
,,,,,,,
,,,,,,,
,नाम,नाम से प्रसिद्ध,by name,,,,
,,,,,,,
,,,,,,,
,राक्षसम्,राक्षस (से),demon,,,,
,,,,,,,
,,,,,,,
,1.Aश्लोक,1.Fश्लोक,1.Gश्लोक,,,,
,,,,,,,
,,,,,,,
2.1.A,वार्यमाणः,रोका गया,discouraged,,,,
,,,,,,,
,,,,,,,
,सु-बहुशः,बार-बार,repeatedly,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,मारीचेन,मारीच के द्वारा,by Marica,,,,
,,,,,,,
,,,,,,,
,सः,वह राम,he (Rama),,,,
,,,,,,,
,,,,,,,
,रावणः,रावण,Ravana,,,,
,,,,,,,
,,,,,,,
,न,नहीं (है),not,,,,
,,,,,,,
,,,,,,,
,विरोधः,विरोध,to make enemy,,,,
,,,,,,,
,,,,,,,
,बलवता,बलवान्,powerful (Rama),,,,
,,,,,,,
,,,,,,,
,क्षमः,उचित,advisable,,,,
,,,,,,,
,,,,,,,
,रावण,रावण,Ravana,,,,
,,,,,,,
,,,,,,,
,तेन,उस से,in that,,,,
,,,,,,,
,,,,,,,
,ते,तुम्हारा,for you,,,,
,,,,,,,
,,,,,,,
3.1.A,अनादृत्य,अनादृत करके,turning adeaf ear,,,,
,,,,,,,
,,,,,,,
,तु,तु,तु,,,,
,,,,,,,
,,,,,,,
,तद्वाक्यं,उसके वचन को,to his advice,,,,
,,,,,,,
,,,,,,,
,रावणः,रावण,Ravana,,,,
,,,,,,,
,,,,,,,
,काल-चोदितः,मृत्यु के द्वारा प्रेरित,impelled by death,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,जगाम,गया,proceeded,,,,
,,,,,,,
,,,,,,,
,सह-मारीचः,सह-मारीचः,along with Marica,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,तस्य,राम के,Rama's,,,,
,,,,,,,
,,,,,,,
,आश्रम-पदं,आश्रम स्थान को,hermitage,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,तदा,तब,then,,,,
,,,,,,,
,,,,,,,
4.1.A,तेन,उस से,in that,,,,
,,,,,,,
,,,,,,,
,मायाविना,मायावी के द्वारा,by the wily(Marica),,,,
,,,,,,,
,,,,,,,
,दूरम्,दूर स्थान में,afar,,,,
,,,,,,,
,,,,,,,
,अपवाह्य,हटाकर,having removed,,,,
,,,,,,,
,,,,,,,
,नृपात्मजौ,दोना राजपुत्रा को,two princes (Rama and Lakshmana),,,,
,,,,,,,
,,,,,,,
,जहार,चुरा ले गया,stole away,,,,
,,,,,,,
,,,,,,,
,भार्याम्,पत्नी को,wife,,,,
,,,,,,,
,,,,,,,
,रामस्य,राम की,Rama's,,,,
,,,,,,,
,,,,,,,
,गृध्रम्,गिद्ध,the vulture,,,,
,,,,,,,
,,,,,,,
,हत्वा,मारकर,having killed,,,,
,,,,,,,
,,,,,,,
,जटायुषम्,जटायु (का),Jatayu by name,,,,
,,,,,,,
,,,,,,,
5.1.A,गृध्रम्,गिद्ध,the vulture,,,,
,,,,,,,
,,,,,,,
,च,और,and,,,,
,,,,,,,
,,,,,,,
,नि-हतम्,मरणासन्न,mortally wounded,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,दृष्ट्वा,देख कर,having seen,,,,
,,,,,,,
,,,,,,,
,हृतां,अपहृता,forcibly carried off,,,,
,,,,,,,
,,,,,,,
,श्रुत्वा,सुनकर,having heard,,,,
,,,,,,,
,,,,,,,
,च,और,and,,,,
,,,,,,,
,,,,,,,
,मैथिलीम्,सीता को,Maithili (Sita),,,,
,,,,,,,
,,,,,,,
,राघवः,राम (ने),a scion of Raghu,,,,
,,,,,,,
,,,,,,,
,शोक-सन्तप्तः,दुःखित,tormented with grief,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,वि-ललाप,विलाप किया,wailed loudly,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,आकुलेन्द्रियः,व्यथित,mind agitated,,,,
,,,,,,,
,,,,,,,
6.1.A,ततः,उसके बाद,then,,,,
,,,,,,,
,,,,,,,
,तेन,उस से,in that,,,,
,,,,,,,
,,,,,,,
,एव,ही,also,,,,
,,,,,,,
,,,,,,,
,शोकेन,शोक से,in state of grief,,,,
,,,,,,,
,,,,,,,
,गृध्रम्,गिद्ध,the vulture,,,,
,,,,,,,
,,,,,,,
,दग्ध्वा,दाह संस्कार करके,having cremated,,,,
,,,,,,,
,,,,,,,
,जटायुषम्,जटायु (का),Jatayu by name,,,,
,,,,,,,
,,,,,,,
,मार्गमाणः,खोजते हुए,hunting up,,,,
,,,,,,,
,,,,,,,
,वने,वन में,in the forest,,,,
,,,,,,,
,,,,,,,
,सीताम्,सीता को,Sita,,,,
,,,,,,,
,,,,,,,
,राक्षसम्,राक्षस को,demon,,,,
,,,,,,,
,,,,,,,
,सं-ददर्श,देखा,saw,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,ह,(प्रसिद्धार्थक अव्यय),so the tradition goes,,,,
,,,,,,,
,,,,,,,
7.1.A,कबन्धम्,कबन्ध को,to Kabandha,,,,
,,,,,,,
,,,,,,,
,नाम,नामक,by name,,,,
,,,,,,,
,,,,,,,
,रूपेण,रूप से,of body,,,,
,,,,,,,
,,,,,,,
,वि-कृतम्,विकृत,deformed,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,घोर-दर्शनम्,भयङ्कर,having terrible look,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,तम्,उसको,him,,,,
,,,,,,,
,,,,,,,
,निहत्य,मारकर,having killed,,,,
,,,,,,,
,,,,,,,
,महा-बाहुः,लम्बी भुजाओं वाले राम ने,the mighty armed Rama,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,ददाह,दहन किया,cremated,,,,
,,,,,,,
,,,,,,,
,स्वः,स्वर्ग,to heaven,,,,
,,,,,,,
,,,,,,,
,गतः,चला गया,ascended,,,,
,,,,,,,
,,,,,,,
,च,और,and,,,,
,,,,,,,
,,,,,,,
,सः,वह राम,he (Rama),,,,
,,,,,,,
,,,,,,,
8.1.A,स,वह,that,,,,
,,,,,,,
,,,,,,,
,च,और,and,,,,
,,,,,,,
,,,,,,,
,अस्य,राम को,to Rama,,,,
,,,,,,,
,,,,,,,
,कथयामास,कहा,said,,,,
,,,,,,,
,,,,,,,
,शबरीम्,शबरी (के पास),to shabari,,,,
,,,,,,,
,,,,,,,
,धर्म-चारिणीम्,धर्माचरण करने वाली,to pious,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,श्रमणाम्,सन्यासिनी,hermitess,,,,
,,,,,,,
,,,,,,,
,धर्म-निपुणाम्,धर्मशीला,well-versed in the principles of right piousness,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,अभि-गच्छ,जाओ,go,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,इति,ऐसा,having said that,,,,
,,,,,,,
,,,,,,,
,राघव,राघव,Raghava,,,,
,,,,,,,
,,,,,,,
9.1.A,सः,वह राम,he (Rama),,,,
,,,,,,,
,,,,,,,
,अभ्यगच्छत्,गया,approached,,,,
,,,,,,,
,,,,,,,
,महा-तेजाः,अत्यन्त तेजस्वी,the highly glorious,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,शबरीम्,शबरी (के पास),to shabari,,,,
,,,,,,,
,,,,,,,
,शत्रु-सूदनः,शत्रुओं के विनाशक,the destroyer of foes,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,शबर्या,शबरी के द्वारा,by shabari,,,,
,,,,,,,
,,,,,,,
,पूजितः,पूजित हुए,worshipped,,,,
,,,,,,,
,,,,,,,
,सम्यक्,भली भाँति,duly,,,,
,,,,,,,
,,,,,,,
,रामः,राम,shri Rama by name,,,,
,,,,,,,
,,,,,,,
,दशरथात्मजः,दशरथ पुत्र,the son of Dasharatha,,,,
,,,,,,,
,,,,,,,
10.1.A,पम्पा-तीरे,पम्पा नामक सरोवर के किनारे,on the bank of pampa lake,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,हनुमता,हनुमान् के साथ,with Hanuman,,,,
,,,,,,,
,,,,,,,
,सङ्गतः,मिला,came in contact,,,,
,,,,,,,
,,,,,,,
,वानरेण,बन्दर,monkey,,,,
,,,,,,,
,,,,,,,
,ह,(प्रसिद्धार्थक अव्यय),so the tradition goes,,,,
,,,,,,,
,,,,,,,
,हनुमद्-वचनात्,और हनुमान के कहने,and at the intercession of Hanuman,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,च,और,and,,,,
,,,,,,,
,,,,,,,
,एव,ही,also,,,,
,,,,,,,
,,,,,,,
,सुग्रीवेण,सुग्रीव से,Sugriva,,,,
,,,,,,,
,,,,,,,
,समागतः,मिला,made friendship,,,,
,,,,,,,
,,,,,,,
11.1.A,सुग्रीवाय,सुग्रीव को,to Sugriva,,,,
,,,,,,,
,,,,,,,
,च,और,and,,,,
,,,,,,,
,,,,,,,
,तत्सर्वं,तत्सर्वं,that all,,,,
,,,,,,,
,,,,,,,
,शंसत्,सुनाया,narrated,,,,
,,,,,,,
,,,,,,,
,रामः,राम,shri Rama by name,,,,
,,,,,,,
,,,,,,,
,महा-बलः,महा-बलः,exceedingly powerful(Rama),,,,
,,,,,,,
,,,,,,,
,,,,,,,
,1.Aश्लोक,1.Fश्लोक,1.Gश्लोक,,,,
,,,,,,,
,,,,,,,
2.1.A,सुग्रीवः,सुग्रीव,Sugriva,,,,
,,,,,,,
,,,,,,,
,अपि,अपि,too,,,,
,,,,,,,
,,,,,,,
,तत्,वह,that,,,,
,,,,,,,
,,,,,,,
,सर्वं,सर्वं,the whole,,,,
,,,,,,,
,,,,,,,
,श्रुत्वा,सुनकर,having heard,,,,
,,,,,,,
,,,,,,,
,रामस्य,राम का,of Rama,,,,
,,,,,,,
,,,,,,,
,वानरः,वानर,the monkey,,,,
,,,,,,,
,,,,,,,
3.1.A,चकार,किया,made,,,,
,,,,,,,
,,,,,,,
,सख्यं,मित्रता,friendship,,,,
,,,,,,,
,,,,,,,
,रामेण,राम के द्वारा,by shri Rama,,,,
,,,,,,,
,,,,,,,
,प्रीतः,प्रसन्न,pleased,,,,
,,,,,,,
,,,,,,,
,च,और,and,,,,
,,,,,,,
,,,,,,,
,एव,ही,alone,,,,
,,,,,,,
,,,,,,,
,अग्नि-साक्षिकम्,अग्नि को साक्षी मानकर,in the presence of (sacred) fire as witness,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,ततः,तब,then,,,,
,,,,,,,
,,,,,,,
,वानर-राजेन,वानरराज (सुग्रीव) के द्वारा,by chief of monkey (Sugriva),,,,
,,,,,,,
,,,,,,,
,,,,,,,
,वैरानुकथनम्,वैरानुकथनम्,his enemity,,,,
,,,,,,,
,,,,,,,
,प्रति,के प्रति,with regard to,,,,
,,,,,,,
,,,,,,,
4.1.A,रामाय,राम (से),to shri Rama,,,,
,,,,,,,
,,,,,,,
,आवेदितम्,निवेदन किया गया,reported,,,,
,,,,,,,
,,,,,,,
,सर्वम्,सब कुछ,the whole,,,,
,,,,,,,
,,,,,,,
,प्रणयात्,प्रेम के कारण,out of affection,,,,
,,,,,,,
,,,,,,,
,दुःखितेन,दुःखित,afflicted,,,,
,,,,,,,
,,,,,,,
,च,और,and,,,,
,,,,,,,
,,,,,,,
,प्रति-ज्ञातम्,के प्रति-ज्ञातम्,a vow was taken,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,च,और,and,,,,
,,,,,,,
,,,,,,,
,रामेण,राम के द्वारा,by shri Rama,,,,
,,,,,,,
,,,,,,,
,तदा,तब,then,,,,
,,,,,,,
,,,,,,,
,वालि-वधं,वालि वध,Killing of vali,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,प्रति,के प्रति,with regard to,,,,
,,,,,,,
,,,,,,,
,62,62,62,,,,
,,,,,,,
,,,,,,,
5.1.A,वालिनः,वाली की,of Vali,,,,
,,,,,,,
,,,,,,,
,च,और,and,,,,
,,,,,,,
,,,,,,,
,बलम्,शक्ति को,strength,,,,
,,,,,,,
,,,,,,,
,तत्र,युद्ध में,in the course of that encounter,,,,
,,,,,,,
,,,,,,,
,कथयामास,कहा,described,,,,
,,,,,,,
,,,,,,,
,वानरः,वानर,the monkey,,,,
,,,,,,,
,,,,,,,
,सुग्रीवः,सुग्रीव,Sugriva,,,,
,,,,,,,
,,,,,,,
,शङ्कितः,सन्देह युक्त,full of misgivings,,,,
,,,,,,,
,,,,,,,
,च,और,and,,,,
,,,,,,,
,,,,,,,
,आसीत्,था,was,,,,
,,,,,,,
,,,,,,,
,नित्यं,नित्यं,ever,,,,
,,,,,,,
,,,,,,,
,वीर्येण,बल (के विषय में),in the matter of prowess,,,,
,,,,,,,
,,,,,,,
,राघवे,राम (के),concerning Rama,,,,
,,,,,,,
,,,,,,,
6.1.A,राघव-प्रत्ययार्थम्,राम के विश्वास के लिए,in order to convince shri Rama,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,तु,तु,too,,,,
,,,,,,,
,,,,,,,
,दुन्दुभेः,दुन्दभि नामक राक्षस के,of dundubhi,,,,
,,,,,,,
,,,,,,,
,कायम्,शरीर को,skeleton,,,,
,,,,,,,
,,,,,,,
,उत्तमम्,बडे,tall,,,,
,,,,,,,
,,,,,,,
,दर्शयामास,दिखलाया,actually showed,,,,
,,,,,,,
,,,,,,,
,सुग्रीवः,सुग्रीव,Sugriva,,,,
,,,,,,,
,,,,,,,
,महा-पर्वत-सन्निभम्,महा-पर्वत-सन्निभम्,looking like a big mountain,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.1.A,उत्स्मयित्वा,और हँस कर,smiling,,,,
,,,,,,,
,,,,,,,
,महा-बाहुः,लम्बे बाहु वाला,the mighty armed,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,प्रेक्ष्य,देख कर,glaring,,,,
,,,,,,,
,,,,,,,
,च,और,and,,,,
,,,,,,,
,,,,,,,
,अस्थि,अस्थि (को),bone,,,,
,,,,,,,
,,,,,,,
,महा-बलः,महाबली,possessed of extra ordinary strength,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,पादाङ्गुष्ठेन,पादाङ्गुष्ठेन,with his big toe full,,,,
,,,,,,,
,,,,,,,
,चिक्षेप,फेंका,hurled,,,,
,,,,,,,
,,,,,,,
,सम्पूर्णं,पूरे,all,,,,
,,,,,,,
,,,,,,,
,दश-योजनम्,दश योजन तक,distance of eighty miles,,,,
,,,,,,,
,,,,,,,
,,,,,,,
8.1.A,बिभेद,भेद दिया,pierced,,,,
,,,,,,,
,,,,,,,
,च,और,and,,,,
,,,,,,,
,,,,,,,
,पुनः,पुनः,"again,Further",,,,
,,,,,,,
,,,,,,,
,सालान्,साल वृक्षा को,palmyra trees,,,,
,,,,,,,
,,,,,,,
,सप्त,सात,seven,,,,
,,,,,,,
,,,,,,,
,एकेन,एक,single,,,,
,,,,,,,
,,,,,,,
,महेषुणा,बाण से,mighty shaft,,,,
,,,,,,,
,,,,,,,
,गिरिम्,गिरिम्,a hillock,,,,
,,,,,,,
,,,,,,,
,रसातलं,रसातलं,the sixth subterranean plane,,,,
,,,,,,,
,,,,,,,
,चैव,चैव,as well as,,,,
,,,,,,,
,,,,,,,
,जनयन्,जगाते हुए,in order to inspire,,,,
,,,,,,,
,,,,,,,
,प्रत्ययं,प्रत्ययं,confidence,,,,
,,,,,,,
,,,,,,,
,तदा,तब,then,,,,
,,,,,,,
,,,,,,,
9.1.A,ततः,तब,then,,,,
,,,,,,,
,,,,,,,
,प्रीत-मनाः,प्रसन्नचित्त,pleased,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,तेन,उससे,(distracted) by that,,,,
,,,,,,,
,,,,,,,
,विश्वस्तः,विश्वस्त,contended,,,,
,,,,,,,
,,,,,,,
,सः,वह,he(Sugriva),,,,
,,,,,,,
,,,,,,,
,महा-कपिः,वानर सुग्रीव,the great monkey,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,किष्किन्धाम्,किष्किन्धा,to kishkindha,,,,
,,,,,,,
,,,,,,,
,राम-सहितः,राम के साथ,with Rama,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,जगाम,गया,marched,,,,
,,,,,,,
,,,,,,,
,च,और,and,,,,
,,,,,,,
,,,,,,,
,गुहाम्,गुफा,cave,,,,
,,,,,,,
,,,,,,,
,तदा,तब,then,,,,
,,,,,,,
,,,,,,,
10.1.A,ततः,तब,then,,,,
,,,,,,,
,,,,,,,
,अगर्जत्,गरजा,roared,,,,
,,,,,,,
,,,,,,,
,हरि-वरः,वानर श्रेष्ठ,the monkey chief,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,सुग्रीवः,सुग्रीव,Sugriva,,,,
,,,,,,,
,,,,,,,
,हेम-पिङ्गलः,हेम-पिङ्गलः,tawny as gold,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,तेन,उससे,(distracted) by that,,,,
,,,,,,,
,,,,,,,
,नादेन,ध्वनि से,the king of the,,,,
,,,,,,,
,,,,,,,
,महता,उँची,great roar,,,,
,,,,,,,
,,,,,,,
,निर्जगाम,निकला,Sallied forth,,,,
,,,,,,,
,,,,,,,
,हरीश्वरः,वानर राज (वाली),king of the monkeys (Vali),,,,
,,,,,,,
,,,,,,,
11.1.A,अनु-मान्य,अनु-मान्य,having reassured,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,तदा,तब,then,,,,
,,,,,,,
,,,,,,,
,तारां,तारां,Tara (Vali's wife),,,,
,,,,,,,
,,,,,,,
,सुग्रीवेण,सुग्रीव से,convinced with sugriva,,,,
,,,,,,,
,,,,,,,
,समागतः,आया,came,,,,
,,,,,,,
,,,,,,,
,नि-जघान,मार दिया,killed,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,च,और,and,,,,
,,,,,,,
,,,,,,,
,तत्र,युद्ध में,in the course of that encounter,,,,
,,,,,,,
,,,,,,,
,एनं,इसे (बाली को),him(Vali),,,,
,,,,,,,
,,,,,,,
,शरेण,बाण से,arrow,,,,
,,,,,,,
,,,,,,,
,एकेन,एक,single,,,,
,,,,,,,
,,,,,,,
,राघवः,राम ने,the scion of Raghu,,,,
,,,,,,,
,,,,,,,
12.1.A,ततः,तब,then,,,,
,,,,,,,
,,,,,,,
,सुग्रीव-वचनात्,सुग्रीव-वचनात्,due to Sugriva's plea,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,हत्वा,मारकर,having killed,,,,
,,,,,,,
,,,,,,,
,वालिनम्,वाली को,to Vali,,,,
,,,,,,,
,,,,,,,
,आहवे,युद्ध में,in an encounter,,,,
,,,,,,,
,,,,,,,
,सुग्रीवम्,सुग्रीव को,Sugriva himself,,,,
,,,,,,,
,,,,,,,
,एव,ही,alone,,,,
,,,,,,,
,,,,,,,
,तद्-राज्ये,उस राज्य में,in Vali's throne,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,राघवः,राम ने,the scion of Raghu,,,,
,,,,,,,
,,,,,,,
,प्रत्यपादयत्,बैठाया,installed,,,,
,,,,,,,
,,,,,,,
,1.Aश्लोक,1.Fश्लोक,1.Gश्लोक,,,,
,,,,,,,
,,,,,,,
2.1.A,सः,वह हनुमान्,he (Hanuman),,,,
,,,,,,,
,,,,,,,
,च,और,and,,,,
,,,,,,,
,,,,,,,
,सर्वान्,सभी,all,,,,
,,,,,,,
,,,,,,,
,समानीय,बुलाकर (इकट्ठा करके),bringing together,,,,
,,,,,,,
,,,,,,,
,वानरान्,बन्दरा को,the monkeys,,,,
,,,,,,,
,,,,,,,
,वानरर्षभः,वानरों में श्रेष्ठ,Great among the monkeys,,,,
,,,,,,,
,,,,,,,
,दिशः,चारा दिशाओं में,in all directions,,,,
,,,,,,,
,,,,,,,
,प्र-स्थापयामास,भेजा,sent,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,दिदृक्षुः,देखने का इच्छुक,Desirous to see,,,,
,,,,,,,
,,,,,,,
,जनकात्मजाम्,जनक की पुत्री सीता को,to the daughter of Janaka(Sita),,,,
,,,,,,,
,,,,,,,
3.1.A,ततः,उसके बाद,thereafter,,,,
,,,,,,,
,,,,,,,
,गृधस्य,गिद्ध पक्षी के,vulture,,,,
,,,,,,,
,,,,,,,
,वचनात्,कथन से,according to the counsel,,,,
,,,,,,,
,,,,,,,
,सम्पातेः,सम्पाति नाम के,Sampati by name,,,,
,,,,,,,
,,,,,,,
,हनुमान्,हनुमान्,Hanuman,,,,
,,,,,,,
,,,,,,,
,बली,बलवान्,mighty,,,,
,,,,,,,
,,,,,,,
,शत-योजन-विस्तीर्णं,सौ योजन विस्तृत (चार सौ कोस),800 miles broad,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,पुप्लुवे,पार किया,leapt across,,,,
,,,,,,,
,,,,,,,
,लवणार्णवम्,खारा सागर को,brackish sea,,,,
,,,,,,,
,,,,,,,
4.1.A,तत्र,वहाँ (लङ्का में),there(in Lanka),,,,
,,,,,,,
,,,,,,,
,लङ्काम्,लङ्काम्,Lanka,,,,
,,,,,,,
,,,,,,,
,समासाद्य,पहुँच कर,having reached,,,,
,,,,,,,
,,,,,,,
,पुरीम्,नगरी को,the city,,,,
,,,,,,,
,,,,,,,
,रावण-पालिताम्,रावण द्वारा पालित,ruled over by Ravana,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,ददर्श,देखा,saw,,,,
,,,,,,,
,,,,,,,
,सीताम्,सीता को,Sita,,,,
,,,,,,,
,,,,,,,
